行,彳丁
丿,丿
磷,石粦
躲,身朵
憫,心門文
躺,身尚
李,木子
杏,木口
罙,穴木
杈,木叉
杉,木彡
杆,木干
罐,缶雚
杀,杀
罔,冂亡人
束,木口
杜,木土
閨,門圭
斂,僉攵
杖,木丈
材,木才
村,木寸
杯,木不
杭,木亢
挨,手矣
署,四者
現,王見
罰,四言刀
罷,四能
杠,木工
条,夂小
松,木公
板,木反
罩,四卓
置,四直
肮,月亢
澎,水彭
東,東
許,言午
門,門
瑪,王馬
瑩,火冖玉
閃,門人
診,言人彡
閏,門王
瑣,王小貝
閉,門才
開,門开
訣,言夬
繩,糸黽
閑,門木
間,門日
訪,言方
籠,竹龍
閘,門甲
設,言殳
瑰,王鬼
訓,言川
閥,門伐
閣,門各
訛,言化
記,言己
訟,言公
晰,日析
訝,言牙
瑟,王必
閵,門隹
言,言
閱,門兌
啤,口卑
訊,言卂
計,言十
討,言寸
閻,門臽
援,手爰
餘,食余
貼,貝占
餒,食妥
餓,食我
餐,攴又食
嗓,口桑
餌,食耳
養,羊食
握,手屋
揣,手耑
揭,手曷
揮,手軍
餅,食并
揩,手皆
揪,手秋
餾,食留
揖,手咠
提,手是
費,弗貝
插,手干臼
晾,日京
揚,手昜
換,手奐
攢,手贊
肪,月方
館,食官
揍,手奏
蟀,虫率
描,手苗
揉,手柔
餡,食臽
薪,艹新
藻,艹澡
雌,此隹
嗆,口倉
攬,手覽
竭,立曷
嘿,口黑
淌,水尚
端,立耑
淋,水林
淆,水肴
嶄,山斬
蕉,艹焦
蕊,艹心
嶇,山區
雛,芻隹
釣,金勺
淚,水戾
章,立早
陪,阝咅
淑,水叔
淒,水妻
淮,水隹
淨,水爭
淩,水夌
金,人玉
淫,水爪壬
淤,水於
財,貝才
針,金十
淡,水炎
蕪,艹無
釘,金丁
采,爪木
攙,手毚
嶺,山領
嶼,山與
淹,水奄
釁,興酉分
添,水忝
量,旦里
野,里予
重,千里
里,里
釋,采睪
深,水罙
淳,水享
擠,手齊
竣,立夋
擦,手察
股,月殳
擬,手疑
擰,手寧
擱,手閣
擲,手鄭
擴,手廣
殺,杀殳
擺,手罷
嚇,口赫
擾,手憂
慣,心貫
嚼,口爵
擁,手雍
擂,手雷
擅,手亶
擇,手睪
嚴,口厂敢
擊,殳車手凵
擋,手當
鳩,九鳥
擎,敬手
擒,手禽
擔,手詹
據,手豦
軀,身區
制,未刀
刷,尸巾刀
胰,月夷
攘,手襄
到,至刀
胸,月匈
攆,手輦
刺,朿刀
刻,亥刀
券,半刀
能,能
判,半刀
胡,古月
胥,月疋
刮,舌刀
刪,冊刀
胯,月夸
刨,包刀
利,禾刀
列,歹刀
胖,月半
刑,开刀
胚,月丕
桐,木同
桑,又木
胞,月包
分,八刀
切,七刀
案,安木
刃,刀
刀,刀
刁,刀
桂,木圭
桃,木兆
桀,木夅
刍,刍
刊,干刀
背,北月
桅,木危
難,難
離,离隹
挺,手廷
挽,手免
慰,尉心
挾,手夾
雪,雨彐
雨,雨
雲,雨云
挫,手坐
挪,手那
雷,雨田
零,雨令
振,手辰
電,雨电
雹,雨包
贈,貝曾
雁,厂人隹
雀,小隹
雇,戶隹
集,隹木
雅,牙隹
雄,厷隹
挑,手兆
雍,人隹乡
挖,手穴乙
按,手安
畐,一口田
雖,虽隹
雕,周隹
挎,手夸
持,手寺
雚,艹口隹
雙,隹又
焚,林火
指,手旨
雜,亲隹
車,車
軋,車乚
襟,衣禁
軌,車九
軍,冖車
碎,石卒
碌,石录
碉,石周
碗,石宛
軟,車欠
碑,石卑
軒,車干
碟,石枼
碘,石典
驕,馬喬
碧,王白石
驗,馬僉
驟,馬聚
溶,水容
碩,石頁
驅,馬區
軸,車由
矮,矢委
碳,石炭
碰,石並
碾,石展
轟,車
碼,石馬
確,石隺
夢,艹四冖夕
夠,夕句
熙,臣巳火
大,大
夥,果多
太,大
夫,大一
天,大一
央,大冂
夯,大力
夬,夬
夭,大
熊,能火
失,人
熏,重火
夸,大丂
驚,敬馬
夾,大人
焊,火旱
熄,火息
頗,皮頁
夂,夂
夆,夂丰
觸,角蜀
夅,夅
夋,厶八夂
熱,埶火
夏,目夂
夌,土八夂
复,人日夂
夐,負夂
外,夕卜
夗,夕卩
熬,敖火
夕,夕
多,夕
解,角刀牛
夜,亦夕
話,言舌
該,言亥
詳,言羊
詹,刀厂言八
琢,王豕
詠,言永
詢,言旬
試,言式
琴,王今
詩,言寺
蕎,喬卄
詭,言危
琳,王林
詐,言乍
妾,立女
秤,禾平
頌,公頁
琅,王良
理,王里
詛,言且
詞,言司
球,王求
镸,镸
秦,丰禾
順,川頁
長,長
出,屮凵
函,水凵
凳,登几
脾,月卑
凱,山豆几
凰,几皇
凶,乂凵
凵,凵
榮,火冖木
榨,木窄
脯,月甫
凡,凡
几,几
脫,月兌
熟,孰火
脖,月孛
榜,木旁
榛,木秦
凝,冫疑
凜,冫稟
秩,禾失
榕,木容
榔,木郎
脆,月危
脅,力月
脂,月旨
凍,冫東
榆,木俞
准,冫隹
脈,月氏
薺,齊艹
角,角
拋,手九力
熔,火容
拌,手半
複,衣复
租,禾且
夷,大弓
疫,疒殳
悟,心吾
悅,心兌
悄,心肖
悉,采心
悍,心旱
趙,走肖
缸,缶工
悲,非心
缺,缶夬
悶,門心
悴,心卒
缶,缶
悼,心卓
患,串心
悠,攸心
觀,雚見
悤,囱心
私,禾厶
您,你心
噩,王口
搬,手般
噪,口喿
搪,手唐
搶,手倉
噴,口賁
噸,口頓
潮,水朝
損,手員
秉,禾肀
搏,手尃
讓,言襄
搔,手蚤
搗,手島
搖,手月缶
拖,手人也
搓,手差
搜,手叟
搞,手高
霹,雨辟
誰,言隹
瓷,次瓦
瓶,并瓦
誼,言宜
調,言周
誹,言非
誤,言吳
瓣,辛瓜
誦,言甬
誡,言戒
誠,言成
誣,言巫
瓦,瓦
爰,爪友
誨,言每
說,言兌
誕,言延
誓,折言
溜,水留
瓜,瓜
誇,言夸
庵,广奄
認,言忍
瓊,王夐
爾,爾
捺,手奈
隧,阝遂
捶,手垂
捷,手疌
險,阝僉
葵,艹癸
頸,巠頁
隶,肀水
隸,隶柰
隹,隹
隺,隺
葷,艹軍
模,木莫
跋,足犮
隅,阝禺
隆,阝夂生
隊,阝八豕
隋,阝左月
捐,手肙
捎,手肖
捏,手日土
捌,手別
鄭,奠阝
隔,阝鬲
隕,阝員
捉,手足
捆,手困
隙,阝日小
捅,手甬
捂,手吾
曠,日廣
嵌,山甘欠
洗,水先
洛,水各
薄,艹溥
薇,艹微
洞,水同
癱,疒難
薛,艹垖辛
廬,广盧
葡,艹匍
薑,艹畺
洋,水羊
醫,殹酉
薩,艹阝產
洲,水州
蠍,歇虫
薯,艹署
洶,水匈
醜,酉鬼
活,水舌
洽,水合
洼,水圭
薦,艹鹿丂火
距,足巨
津,水聿
葦,艹韋
醃,酉奄
洪,水共
醉,酉卒
醋,酉昔
壤,土襄
溺,水弱
壯,片士
壬,壬
士,士
帕,巾白
壴,十豆
壳,士冖几
嫁,女家
声,声
壽,壽
蘸,艹酉焦
蘿,艹羅
壺,士亞
壹,士冖豆
壇,土亶
災,川火
灼,火勺
蘇,艹魚禾
蘆,艹盧
壁,辟土
灸,火久
蘋,艹頻
灶,火土
鄙,啚阝
灰,又火
壕,土豪
火,火
壟,龍土
壞,土褱
灣,水彎
峽,山夾
壘,田土
龍,龍
摩,麻手
睜,目爭
嘮,口勞
嘯,口肅
鐘,金童
削,肖刀
嘩,口華
座,广坐
摻,手參
嘴,口此角
摹,莫手
嘲,口朝
嘰,口幾
摳,手區
爛,火闌
龐,广龍
嘹,口尞
嘀,口啇
嘁,口戚
龠,龠
嘉,壴加
屑,尸肖
摘,手啇
摟,手婁
摔,手率
蛆,且虫
渤,水勃
腰,月要
腳,月卻
冰,冫水
