扯	che3	手 shŏu; 止 zhĭ
驯	xun4	马 mă; 川 chuān
询	xun2	言 yán; 旬 xún
循	xun2	彳 chì; 盾 dùn shŭn
训	xun4	言 yán; 川 chuān
讯	xun4	言 yán; 飞 fēi
汛	xun4	水 shuĭ; 飞 fēi
迅	xun4	辶 chuò; 飞 fēi
逊	xun4	辶 chuò; 孙 sūn
殉	xun4	歹 dăi; 旬 xún
压	ya1 ya4	厂 chăng hăn ān; 土 tŭ
呀	ya1 ya5	口 kŏu; 牙 yá
押	ya1 ya2	手 shŏu; 甲 jiă
鸦	ya1	牙 yá; 鸟 niăo diăo
鸭	ya1	甲 jiă; 鸟 niăo diăo
牙	ya2	牙 yá
芽	ya2 di2	艹 căo; 牙 yá
厓	ya2	厂 chăng hăn ān; 圭 guī
蚜	ya2	虫 chóng huĭ; 牙 yá
崖	ya2 ai2	山 shān; 厓 yá
涯	ya2	水 shuĭ; 厓 yá
衙	ya2	行 xíng háng hàng xìng héng; 吾 wú
哑	ya1 ya3	口 kŏu; 亚 yà
雅	ya3 ya1	牙 yá; 隹 zhuī cuī
亚	ya4	亚 yà
讶	ya4	言 yán; 牙 yá
咽	yan1 yan4 ye4	口 kŏu; 因 yīn
烟	yan1 yin1	火 huŏ; 因 yīn
淹	yan1 yan4	水 shuĭ; 奄 yăn yān
焉	yan1	焉 yān
腌	a1 yan1	月 yuè; 奄 yăn yān
蔫	nian1	艹 căo; 焉 yān
延	yan2	廴 yĭn; 止 zhĭ
严	yan2	亚 yà
言	yan2	三 sān; 口 kŏu
岩	yan2	山 shān; 石 shí dàn
沿	yan2 yan4	水 shuĭ; 几 jĭ jī; 口 kŏu
炎	yan2	火 huŏ
研	yan2 yan4	石 shí dàn; 开 kāi
盐	yan2	土 tŭ; 卜 bŭ bo; 皿 mĭn
阎	yan2	门 mén; 臽 xiàn
蜒	yan2	虫 chóng huĭ; 延 yán
颜	yan2	彦 yàn; 页 yè
檐	yan2 yin2	木 mù; 詹 zhān
奄	yan3 yan1	大 dà dài; 电 diàn
衍	yan3	行 xíng háng hàng xìng héng; 水 shuĭ
掩	yan3	手 shŏu; 奄 yăn yān
眼	yan3	目 mù; 艮 gèn gĕn
演	yan3	水 shuĭ; 寅 yín
厌	yan4	厂 chăng hăn ān; 犬 quăn quán
妟	yan4	曰 yuē; 女 nǚ rŭ
彦	yan4	产 chăn; 彡 shān
砚	yan4	石 shí dàn; 见 jiàn xiàn
唁	yan4	口 kŏu; 言 yán
宴	yan4	宀 mián; 妟 yàn
艳	yan4	丰 fēng; 色 sè shăi
验	yan4	马 mă; 佥 qiān
谚	yan4	言 yán; 彦 yàn
堰	yan4	土 tŭ; 匚 fāng xĭ; 妟 yàn
焰	yan4	火 huŏ; 臽 xiàn
雁	yan4	厂 chăng hăn ān; 人 rén; 隹 zhuī cuī
燕	yan4 yan1	燕 yàn yān
央	yang1	大 dà dài; 冂 jiōng
殃	yang1	歹 dăi; 央 yāng
秧	yang1	禾 hé; 央 yāng
鸯	yang1	央 yāng; 鸟 niăo diăo
扬	yang2	手 shŏu; 昜 yáng
羊	yang2	羊 yáng
阳	yang2	阜 fù; 日 rì
杨	yang2	木 mù; 昜 yáng
昜	yang2	勿 wù; 一 yī
洋	yang2	水 shuĭ; 羊 yáng
卬	ang2 yang3	卩 jié
仰	yang3	人 rén; 卬 áng yăng
养	yang3	羊 yáng; 八 bā bá
氧	yang3	气 qì; 羊 yáng
痒	yang3	疒 chuáng; 羊 yáng
样	yang4	木 mù; 羊 yáng
漾	yang4	水 shuĭ; 羊 yáng; 永 yŏng
幺	yao1	幺 yāo
夭	yao1 yao3	大 dà dài
吆	yao1	口 kŏu; 幺 yāo
妖	yao1	女 nǚ rŭ; 夭 yāo yăo
腰	yao1	月 yuè; 要 yào yāo
邀	yao1	辶 chuò; 敫 jiăo jiă
尧	yao2	戈 gē; 兀 wù wū
肴	yao2	乂 yì ài; 有 yŏu yòu
姚	yao2	女 nǚ rŭ; 兆 zhào
窑	yao2	穴 xué xuè; 缶 fŏu
谣	yao2	言 yán; 窰 yáo
摇	yao2	手 shŏu; 窰 yáo
遥	yao2	辶 chuò; 窰 yáo
窰	yao2	爪 zhuă zhăo; 缶 fŏu
咬	yao3	口 kŏu; 交 jiāo
舀	yao3	爪 zhuă zhăo; 臼 jiù
药	yao4	艹 căo; 约 yuē yāo
要	yao4 yao1	西 xī; 女 nǚ rŭ
耀	yao4 yue4	光 guāng; 翟 zhái dí
椰	ye1 ye2	木 mù; 耶 yē yé
爷	ye2	父 fù fŭ; 卩 jié
耶	ye1 ye2	耳 ĕr; 邑 yì
也	ye3	也 yĕ
冶	ye3	冫 bīng; 台 tái tāi
野	ye3	里 lĭ li; 予 yŭ yú
业	ye4	业 yè
叶	ye4 xie2	口 kŏu; 十 shí
页	ye4	页 yè
夜	ye4	亦 yì; 夕 xī xì
枼	ye4	世 shì; 木 mù
掖	ye4 ye1 yi4	手 shŏu; 夜 yè
液	ye4 yi4	水 shuĭ; 夜 yè
谒	ye4	言 yán; 曷 hé
腋	ye4 yi4	月 yuè; 夜 yè
一	yi1	一 yī
伊	yi1	人 rén; 尹 yĭn
衣	yi1 yi4 yi3	衣 yī yì yĭ
医	yi1	匚 fāng xĭ; 矢 shĭ
依	yi1	人 rén; 衣 yī yì yĭ
壹	yi1	士 shì; 冖 mì; 豆 dòu
揖	yi1	手 shŏu; 咠 qī
仪	yi2	人 rén; 义 yì
夷	yi2	大 dà dài; 弓 gōng
宜	yi2	宀 mián; 且 qiĕ jū
姨	yi2	女 nǚ rŭ; 夷 yí
胰	yi2	月 yuè; 夷 yí
移	yi2	禾 hé; 多 duō
遗	yi2 wei4	辶 chuò; 贵 guì
疑	yi2	匕 bĭ; 矢 shĭ; 足 zú jù
乙	yi3	乙 yĭ
已	yi3	巳 sì
以	yi3	人 rén
矣	yi3	厶 sī; 矢 shĭ
蚁	yi3	虫 chóng huĭ; 义 yì
倚	yi3	人 rén; 奇 qí jī
椅	yi3 yi1	木 mù; 奇 qí jī
乂	yi4 ai4	乂 yì ài
义	yi4	乂 yì ài
亿	yi4	人 rén; 乙 yĭ
弋	yi4	弋 yì
忆	yi4	心 xīn; 乙 yĭ
艺	yi4	艹 căo; 乙 yĭ
议	yi4	言 yán; 义 yì
亦	yi4	亦 yì
屹	yi4 ge1	山 shān; 乞 qĭ
异	yi4	巳 sì; 廾 gŏng
役	yi4	彳 chì; 殳 shū
抑	yi4	手 shŏu; 卬 áng yăng
译	yi4	言 yán; 睪 gāo
邑	yi4	口 kŏu; 巴 bā
易	yi4	日 rì; 勿 wù
绎	yi4	糸 mì; 睪 gāo
奕	yi4	亦 yì; 大 dà dài
疫	yi4	疒 chuáng; 殳 shū
益	yi4	水 shuĭ; 皿 mĭn
谊	yi4	言 yán; 宜 yí
異	yi4	田 tián; 共 gòng gōng gŏng
逸	yi4	辶 chuò; 兔 tù
意	yi4	音 yīn; 心 xīn
溢	yi4	水 shuĭ; 益 yì
肄	yi4	匕 bĭ; 矢 shĭ; 聿 yù
毅	yi4	立 lì; 豕 shĭ; 殳 shū
翼	yi4	羽 yŭ; 異 yì
乚	yin3	乚 yĭn
因	yin1	囗 wéi; 大 dà dài
阴	yin1	阜 fù; 月 yuè
姻	yin1	女 nǚ rŭ; 因 yīn
茵	yin1	艹 căo; 因 yīn
音	yin1	言 yán; 一 yī
殷	yin1 yan1 yin3	身 shēn juān; 殳 shū
冘	yin2	冖 mì; 人 rén
吟	yin2	口 kŏu; 今 jīn
寅	yin2	宀 mián; 田 tián; 八 bā bá
淫	yin2	水 shuĭ; 爪 zhuă zhăo; 壬 rén
银	yin2	金 jīn; 艮 gèn gĕn
廴	yin3	彳 chì
尹	yin3	又 yòu
引	yin3	弓 gōng
饮	yin3 yin4	食 shí sì yì; 欠 qiàn qian
蚓	yin3	虫 chóng huĭ; 引 yĭn
隐	yin3	阜 fù; 急 jí
瘾	yin3	疒 chuáng; 隐 yĭn
印	yin4	爪 zhuă zhăo; 卩 jié
应	ying1 ying4	广 guăng ān; 兴 xīng xìng
英	ying1	艹 căo; 央 yāng
莺	ying1	芁 jiāo; 鸟 niăo diăo
婴	ying1	贝 bèi; 女 nǚ rŭ
缨	ying1	糸 mì; 婴 yīng
樱	ying1	木 mù; 婴 yīng
鹦	ying1	婴 yīng; 鸟 niăo diăo
鹰	ying1	雁 yàn; 鸟 niăo diăo
迎	ying2	辶 chuò; 卬 áng yăng
盈	ying2	乃 năi; 又 yòu; 皿 mĭn
荧	ying2	芁 jiāo; 火 huŏ
莹	ying2	芁 jiāo; 玉 yù
萤	ying2	芁 jiāo; 虫 chóng huĭ
营	ying2	芁 jiāo; 吕 lǚ
蝇	ying2	虫 chóng huĭ; 黾 mĭn miăn
赢	ying2	亡 wáng wú; 口 kŏu; 月 yuè; 贝 bèi; 凡 fán
颖	ying3	禾 hé; 顷 qĭng
影	ying3	景 jĭng yĭng; 彡 shān
映	ying4	日 rì; 央 yāng
硬	ying4	石 shí dàn; 更 gèng gēng
哟	yo5 yo1	口 kŏu; 约 yuē yāo
佣	yong1 yong4	人 rén; 用 yòng
拥	yong1	手 shŏu; 用 yòng
庸	yong1	庚 gēng; 用 yòng
永	yong3	水 shuĭ
甬	yong3	用 yòng; 厶 sī
咏	yong3	口 kŏu; 永 yŏng
泳	yong3	水 shuĭ; 永 yŏng
勇	yong3	甬 yŏng; 力 lì
涌	yong3 chong1	水 shuĭ; 甬 yŏng
蛹	yong3	虫 chóng huĭ; 甬 yŏng
踊	yong3	足 zú jù; 甬 yŏng
用	yong4	用 yòng
优	you1	人 rén; 尤 yóu
忧	you1	心 xīn; 尤 yóu
攸	you1	人 rén; 攵 pō
幽	you1	山 shān; 幺 yāo
悠	you1	攸 yōu; 心 xīn
尤	you2	大 dà dài
由	you2	由 yóu
犹	you2	犬 quăn quán; 尤 yóu
邮	you2	由 yóu; 邑 yì
油	you2	水 shuĭ; 由 yóu
游	you2	水 shuĭ; 於 wū yū yú; 子 zi zĭ zí
友	you3	又 yòu; 又 yòu
有	you3 you4	又 yòu; 月 yuè
酉	you3	酉 yŏu
又	you4	又 yòu
右	you4	又 yòu; 口 kŏu
幼	you4	幺 yāo; 力 lì
佑	you4	人 rén; 右 yòu
诱	you4	言 yán; 秀 xiù
迂	yu1	辶 chuò; 于 yú
淤	yu1	水 shuĭ; 於 wū yū yú
于	yu2	于 yú
予	yu3 yu2	予 yŭ yú
余	yu2 tu2	亼 jí; 木 mù
於	wu1 yu1 yu2	方 fāng; 人 rén
鱼	yu2	鱼 yú
俞	yu2 shu4	亼 jí; 月 yuè; 刀 dāo
禺	yu2 yu4	禺 yú yù
娱	yu2	女 nǚ rŭ; 吴 wú
渔	yu2	水 shuĭ; 鱼 yú
隅	yu2	阜 fù; 禺 yú yù
愉	yu2	心 xīn; 俞 yú shù
逾	yu2	辶 chuò; 俞 yú shù
愚	yu2	禺 yú yù; 心 xīn
榆	yu2	木 mù; 俞 yú shù
舆	yu2	臼 jiù; 车 chē jū; 八 bā bá
与	yu3 yu4 yu2	一 yī; 勺 sháo shuò biāo
宇	yu3	宀 mián; 于 yú
屿	yu3	山 shān; 与 yŭ yù yú
羽	yu3	羽 yŭ
雨	yu3 yu4	雨 yŭ yù
禹	yu3	虫 chóng huĭ; 冂 jiōng
语	yu3 yu4	言 yán; 吾 wú
玉	yu4	王 wáng wàng
吁	yu4 xu1 yu1	口 kŏu; 于 yú
聿	yu4	又 yòu; 木 mù
芋	yu4	艹 căo; 于 yú
育	yu4 yo1	子 zi zĭ zí; 月 yuè
郁	yu4	有 yŏu yòu; 邑 yì
狱	yu4	犬 quăn quán; 言 yán; 犬 quăn quán
浴	yu4	水 shuĭ; 谷 gŭ yù
预	yu4	予 yŭ yú; 页 yè
域	yu4	土 tŭ; 或 huò
欲	yu4	谷 gŭ yù; 欠 qiàn qian
喻	yu4	口 kŏu; 俞 yú shù
寓	yu4	宀 mián; 禺 yú yù
御	yu4	彳 chì; 卸 xiè
裕	yu4	衣 yī yì yĭ; 谷 gŭ yù
遇	yu4	辶 chuò; 禺 yú yù
愈	yu4	俞 yú shù; 心 xīn
誉	yu4	兴 xīng xìng; 言 yán
豫	yu4	予 yŭ yú; 象 xiàng
冤	yuan1	冖 mì; 兔 tù
鸳	yuan1	夗 yuàn; 鸟 niăo diăo
渊	yuan1	水 shuĭ; 米 mĭ
元	yuan2	一 yī; 兀 wù wū
员	yuan2 yun2 yun4	口 kŏu; 贝 bèi
园	yuan2	囗 wéi; 元 yuán
爰	yuan2	爪 zhuă zhăo; 于 yú; 又 yòu
原	yuan2	厂 chăng hăn ān; 泉 quán
圆	yuan2	囗 wéi; 员 yuán yún yùn
袁	yuan2	衣 yī yì yĭ; 口 kŏu
援	yuan2	手 shŏu; 爰 yuán
缘	yuan2	糸 mì; 豕 shĭ
源	yuan2	水 shuĭ; 原 yuán
猿	yuan2	犬 quăn quán; 袁 yuán
辕	yuan2	车 chē jū; 袁 yuán
远	yuan3	辶 chuò; 元 yuán
夗	yuan4	夕 xī xì; 卩 jié
肙	yuan1	口 kŏu; 月 yuè
怨	yuan4	夗 yuàn; 心 xīn
院	yuan4	阜 fù; 完 wán
愿	yuan4	原 yuán; 心 xīn
曰	yue1	口 kŏu
约	yue1 yao1	糸 mì; 勺 sháo shuò biāo
月	yue4	月 yuè
戉	yue4	戈 gē
岳	yue4	丘 qiū; 山 shān
钥	yao4 yue4	金 jīn; 月 yuè
悦	yue4	心 xīn; 兑 duì
阅	yue4	门 mén; 兑 duì
跃	yue4	足 zú jù; 夭 yāo yăo
粤	yue4	冂 jiōng; 米 mĭ; 亏 kuī
越	yue4	走 zŏu; 戉 yuè
云	yun2	云 yún
匀	yun2	勹 bāo; 二 èr
耘	yun2	耒 lĕi; 云 yún
允	yun3	厶 sī; 儿 ér r2
陨	yun3	阜 fù; 员 yuán yún yùn
孕	yun4	乃 năi; 子 zi zĭ zí
运	yun4	辶 chuò; 云 yún
晕	yun1 yun4	日 rì; 军 jūn
酝	yun4	酉 yŏu; 云 yún
韵	yun4	音 yīn; 匀 yún
蕴	yun4	艹 căo; 糸 mì; 昷 wēn
匝	za1	匚 fāng xĭ; 巾 jīn
杂	za2	九 jiŭ; 木 mù
砸	za2	石 shí dàn; 匝 zā
灾	zai1	宀 mián; 火 huŏ
栽	zai1	木 mù; 烖 zāi
烖	zai1	十 shí; 戈 gē
宰	zai3	宀 mián; 辛 xīn
载	zai3 zai4	车 chē jū; 烖 zāi
再	zai4	一 yī; 冄 răn
在	zai4	才 cái; 土 tŭ
咱	zan2 za2 zan5	口 kŏu; 自 zì
攒	zan3 cuan2	手 shŏu; 赞 zàn
暂	zan4	斩 zhăn; 日 rì
赞	zan4	先 xiān; 贝 bèi
赃	zang1	贝 bèi; 庄 zhuāng
脏	zang4 zang1	月 yuè; 庄 zhuāng
葬	zang4	艹 căo; 死 sĭ
遭	zao1	辶 chuò; 曹 cáo
糟	zao1	米 mĭ; 曹 cáo
凿	zao2 zuo4	业 yè; 半 bàn; 凵 qū kăn
早	zao3	日 rì; 十 shí
枣	zao3	朿 cì
蚤	zao3	叉 chā chá chă chà; 虫 chóng huĭ
澡	zao3	水 shuĭ; 喿 cāo
藻	zao3	艹 căo; 澡 zăo
灶	zao4	火 huŏ; 土 tŭ
皂	zao4	白 bái; 七 qī
造	zao4	辶 chuò; 告 gào gù
喿	cao1	品 pĭn; 木 mù
噪	zao4	口 kŏu; 喿 cāo
燥	zao4	火 huŏ; 喿 cāo
躁	zao4	足 zú jù; 喿 cāo
则	ze2	贝 bèi; 刀 dāo
择	ze2 zhai2	手 shŏu; 睪 gāo
泽	ze2	水 shuĭ; 睪 gāo
责	ze2	王 wáng wàng; 贝 bèi
贼	zei2	贝 bèi; 戎 róng
怎	zen3 ze3	乍 zhà; 心 xīn
曾	ceng2 zeng1	曾 céng zēng
增	zeng1	土 tŭ; 曾 céng zēng
憎	zeng1	心 xīn; 曾 céng zēng
赠	zeng4	贝 bèi; 曾 céng zēng
喳	zha1 cha1	口 kŏu; 查 chá zhā
渣	zha1 zha3	水 shuĭ; 查 chá zhā
扎	zha1 za1 zha2	手 shŏu; 乚 yĭn
轧	ya4 zha2 ga2	车 chē jū; 乚 yĭn
闸	zha2	门 mén; 甲 jiă
铡	zha2	金 jīn; 则 zé
眨	zha3	目 mù; 乏 fá
乍	zha4	乍 zhà
诈	zha4	言 yán; 乍 zhà
栅	zha4 shan1	木 mù; 册 cè
炸	zha4 zha2	火 huŏ; 乍 zhà
榨	zha4	木 mù; 窄 zhăi zé
斋	zhai1	文 wén wèn; 而 ér
摘	zhai1 zhe2	手 shŏu; 啇 dī
宅	zhai2 zhe4	宀 mián; 乇 tuō
翟	zhai2 di2	羽 yŭ; 隹 zhuī cuī
窄	zhai3 ze2	穴 xué xuè; 乍 zhà
债	zhai4	人 rén; 责 zé
寨	zhai4	宑 jĭng; 木 mù
沾	zhan1	水 shuĭ; 占 zhàn zhān
毡	zhan1	毛 máo; 占 zhàn zhān
粘	zhan1 nian2	米 mĭ; 占 zhàn zhān
詹	zhan1	厃 hăn; 八 bā bá; 言 yán
瞻	zhan1	目 mù; 詹 zhān
斩	zhan3	车 chē jū; 斤 jīn jin
展	zhan3	尸 shī; 廿 niàn; 衣 yī yì yĭ
盏	zhan3	戋 jiān; 皿 mĭn
崭	zhan3	山 shān; 斩 zhăn
占	zhan4 zhan1	卜 bŭ bo; 口 kŏu
战	zhan4	占 zhàn zhān; 戈 gē
栈	zhan4	木 mù; 戋 jiān
站	zhan4	立 lì; 占 zhàn zhān
绽	zhan4	糸 mì; 定 dìng
蘸	zhan4	艹 căo; 酉 yŏu; 焦 jiāo
张	zhang1	弓 gōng; 长 zhăng cháng
章	zhang1	立 lì; 早 zăo
彰	zhang1	章 zhāng; 彡 shān
樟	zhang1	木 mù; 章 zhāng
涨	zhang3 zhang4	水 shuĭ; 张 zhāng
掌	zhang3	尚 shàng; 手 shŏu
丈	zhang4	十 shí; 又 yòu
仗	zhang4	人 rén; 丈 zhàng
帐	zhang4	巾 jīn; 长 zhăng cháng
杖	zhang4	木 mù; 丈 zhàng
胀	zhang4	月 yuè; 长 zhăng cháng
账	zhang4	贝 bèi; 长 zhăng cháng
障	zhang4	阜 fù; 章 zhāng
招	zhao1	手 shŏu; 召 zhào shào zhāo
昭	zhao1	日 rì; 召 zhào shào zhāo
找	zhao3	手 shŏu; 戈 gē
沼	zhao3	水 shuĭ; 召 zhào shào zhāo
召	zhao4 shao4 zhao1	刀 dāo; 口 kŏu
兆	zhao4	兆 zhào
赵	zhao4	走 zŏu; 乂 yì ài
照	zhao4	昭 zhāo; 火 huŏ
罩	zhao4	网 wăng; 卓 zhuó zhuō
遮	zhe1 zhe5	辶 chuò; 庶 shù
折	zhe2 she2 zhe1	手 shŏu; 斤 jīn jin
哲	zhe2	折 zhé shé zhē; 口 kŏu
辙	zhe2	车 chē jū; 徹 chè
者	zhe3	耂 lǎo; 日 rì
这	zhei4 zhe4	辶 chuò; 文 wén wèn
浙	zhe4	水 shuĭ; 折 zhé shé zhē
蔗	zhe4	艹 căo; 庶 shù
贞	zhen1	卜 bŭ bo; 贝 bèi
针	zhen1	金 jīn; 十 shí
侦	zhen1	人 rén; 贞 zhēn
珍	zhen1	王 wáng wàng; 昣 zhĕn
真	zhen1	十 shí; 具 jù
斟	zhen1	甚 shèn shén shé; 斗 dòu dŏu
榛	zhen1	木 mù; 秦 qín
诊	zhen3	言 yán; 昣 zhĕn
枕	zhen3 zhen4	木 mù; 冘 yín
昣	zhen3	人 rén; 彡 shān
疹	zhen3	疒 chuáng; 昣 zhĕn
阵	zhen4	阜 fù; 车 chē jū
振	zhen4	手 shŏu; 辰 chén
镇	zhen4	金 jīn; 真 zhēn
震	zhen4	雨 yŭ yù; 辰 chén
争	zheng1	爪 zhuă zhăo; 又 yòu
征	zheng1	彳 chì; 正 zhèng zhēng
怔	zheng1 zheng4	心 xīn; 正 zhèng zhēng
挣	zheng1 zheng4	手 shŏu; 争 zhēng
狰	zheng1	犬 quăn quán; 争 zhēng
睁	zheng1	目 mù; 争 zhēng
筝	zheng1	竹 zhú; 争 zhēng
蒸	zheng1	艹 căo; 丞 chéng; 火 huŏ
拯	zheng3	手 shŏu; 丞 chéng
整	zheng3	束 shù; 攵 pō; 正 zhèng zhēng
正	zheng4 zheng1	一 yī; 止 zhĭ
证	zheng4	言 yán; 正 zhèng zhēng
郑	zheng4	关 guān; 阜 fù
政	zheng4	正 zhèng zhēng; 攵 pō
症	zheng4 zheng1	疒 chuáng; 正 zhèng zhēng
之	zhi1	之 zhī
支	zhi1	十 shí; 又 yòu
汁	zhi1	水 shuĭ; 十 shí
芝	zhi1	艹 căo; 之 zhī
吱	zhi1 zi1	口 kŏu; 支 zhī
枝	zhi1 qi2	木 mù; 支 zhī
知	zhi1 zhi4	矢 shĭ; 口 kŏu
织	zhi1	糸 mì; 只 zhĭ zhī
肢	zhi1	月 yuè; 支 zhī
脂	zhi1	月 yuè; 旨 zhĭ
蜘	zhi1	虫 chóng huĭ; 知 zhī zhì
执	zhi2	手 shŏu; 丸 wán
侄	zhi2	人 rén; 至 zhì
直	zhi2	十 shí; 目 mù
值	zhi2	人 rén; 直 zhí
职	zhi2	耳 ĕr; 只 zhĭ zhī
植	zhi2	木 mù; 直 zhí
殖	zhi2 shi5	歹 dăi; 直 zhí
夂	zhi3	夂 zhĭ
止	zhi3	止 zhĭ
只	zhi3 zhi1	口 kŏu; 八 bā bá
旨	zhi3	匕 bĭ; 日 rì
址	zhi3	土 tŭ; 止 zhĭ
纸	zhi3	糸 mì; 氏 shì zhī
指	zhi3 zhi1 zhi2	手 shŏu; 旨 zhĭ
趾	zhi3	足 zú jù; 止 zhĭ
至	zhi4	一 yī; 厶 sī; 土 tŭ
志	zhi4	士 shì; 心 xīn
豸	zhi4	豸 zhì
制	zhi4	未 wèi; 刀 dāo
帜	zhi4	巾 jīn; 只 zhĭ zhī
治	zhi4	水 shuĭ; 台 tái tāi
质	zhi4	斤 jīn jin; 贝 bèi
挚	zhi4	执 zhí; 手 shŏu
秩	zhi4	禾 hé; 失 shī
致	zhi4	至 zhì; 攵 pō
掷	zhi4 zhi1	手 shŏu; 郑 zhèng
窒	zhi4	穴 xué xuè; 至 zhì
智	zhi4	知 zhī zhì; 日 rì
滞	zhi4	水 shuĭ; 带 dài
稚	zhi4	禾 hé; 隹 zhuī cuī
置	zhi4	网 wăng; 直 zhí
中	zhong1 zhong4	中 zhōng zhòng
忠	zhong1	中 zhōng zhòng; 心 xīn
终	zhong1	糸 mì; 冬 dōng
盅	zhong1	中 zhōng zhòng; 皿 mĭn
钟	zhong1	金 jīn; 中 zhōng zhòng
衷	zhong1	衣 yī yì yĭ; 中 zhōng zhòng
肿	zhong3	月 yuè; 中 zhōng zhòng
种	zhong3 chong2 zhong4	禾 hé; 中 zhōng zhòng
仲	zhong4	人 rén; 中 zhōng zhòng
众	zhong4	人 rén
重	zhong4 chong2	千 qiān; 里 lĭ li
州	zhou1	川 chuān
舟	zhou1	舟 zhōu
周	zhou1	用 yòng; 口 kŏu
洲	zhou1	水 shuĭ; 州 zhōu
粥	zhou1 yu4	弓 gōng; 米 mĭ
轴	zhou2 zhou4	车 chē jū; 由 yóu
肘	zhou3	月 yuè; 寸 cùn
帚	zhou3	帚 zhŏu
咒	zhou4	口 kŏu; 几 jĭ jī
宙	zhou4	宀 mián; 由 yóu
昼	zhou4	尺 chĭ chĕ; 旦 dàn
皱	zhou4	刍 chú; 皮 pí
骤	zhou4	马 mă; 聚 jù
朱	zhu1	木 mù; 一 yī
株	zhu1	木 mù; 朱 zhū
珠	zhu1	王 wáng wàng; 朱 zhū
诸	zhu1	言 yán; 者 zhĕ
猪	zhu1	犬 quăn quán; 者 zhĕ
蛛	zhu1	虫 chóng huĭ; 朱 zhū
竹	zhu2	竹 zhú
烛	zhu2	火 huŏ; 虫 chóng huĭ
逐	zhu2	辶 chuò; 豕 shĭ
主	zhu3	主 zhŭ
拄	zhu3	手 shŏu; 主 zhŭ
属	shu3 zhu3	尸 shī; 禹 yŭ
煮	zhu3	者 zhĕ; 火 huŏ
嘱	zhu3	口 kŏu; 属 shŭ zhŭ
住	zhu4	人 rén; 主 zhŭ
助	zhu4	且 qiĕ jū; 力 lì
注	zhu4	水 shuĭ; 主 zhŭ
贮	zhu4	贝 bèi; 宀 mián; 一 yī
驻	zhu4	马 mă; 主 zhŭ
壴	zhu3	十 shí; 豆 dòu
柱	zhu4	木 mù; 主 zhŭ
祝	zhu4	示 shì; 兄 xiōng
著	zhu4 zhe5 zhao1 zhao2 zhu3 zi1 zhuo2	艹 căo; 者 zhĕ
蛀	zhu4	虫 chóng huĭ; 主 zhŭ
筑	zhu4 zhu2	竹 zhú; 巩 gŏng
铸	zhu4	金 jīn; 寿 shòu
抓	zhua1	手 shŏu; 爪 zhuă zhăo
爪	zhua3 zhao3	爪 zhuă zhăo
专	zhuan1	专 zhuān
砖	zhuan1	石 shí dàn; 专 zhuān
转	zhuan3 zhuan4 zhuai3	车 chē jū; 专 zhuān
赚	zhuan4 zuan4	贝 bèi; 兼 jiān
撰	zhuan4	手 shŏu; 巳 sì; 共 gòng gōng gŏng
妆	zhuang1	片 piàn piān; 女 nǚ rŭ
庄	zhuang1	广 guăng ān; 土 tŭ
桩	zhuang1	木 mù; 庄 zhuāng
装	zhuang1	壮 zhuàng; 衣 yī yì yĭ
壮	zhuang4	片 piàn piān; 士 shì
状	zhuang4	片 piàn piān; 犬 quăn quán
幢	chuang2 zhuang4	巾 jīn; 童 tóng
撞	zhuang4 chuang2	手 shŏu; 童 tóng
隹	zhui1 cui1	隹 zhuī cuī
追	zhui1	辶 chuò; 垖 duī
椎	zhui1 chui2	木 mù; 隹 zhuī cuī
锥	zhui1	金 jīn; 隹 zhuī cuī
坠	zhui4	队 duì; 土 tŭ
缀	zhui4	糸 mì; 叕 zhuì
赘	zhui4	敖 áo; 贝 bèi
谆	zhun1	言 yán; 享 xiăng
准	zhun3	冫 bīng; 隹 zhuī cuī
卓	zhuo2 zhuo1	上 shàng shăng; 早 zăo
拙	zhuo1 zhuo2	手 shŏu; 出 chū
捉	zhuo1	手 shŏu; 足 zú jù
桌	zhuo1	卓 zhuó zhuō; 木 mù
灼	zhuo2	火 huŏ; 勺 sháo shuò biāo
叕	zhui4	叕 zhuì
茁	zhuo2	艹 căo; 出 chū
浊	zhuo2	水 shuĭ; 虫 chóng huĭ
酌	zhuo2	酉 yŏu; 勺 sháo shuò biāo
啄	zhuo2	口 kŏu; 豕 shĭ
着	zhe5 zhuo2 zhao2 zhao1	羊 yáng; 目 mù
琢	zhuo2 zuo2	王 wáng wàng; 豕 shĭ
仔	zi3 zai3 zi1	人 rén; 子 zi zĭ zí
兹	zi1 ci2	幺 yāo
咨	zi1	次 cì; 口 kŏu
姿	zi1	次 cì; 女 nǚ rŭ
资	zi1	次 cì; 贝 bèi
滋	zi1	水 shuĭ; 兹 zī cí
籽	zi3	米 mĭ; 子 zi zĭ zí
子	zi5 zi3 zi2	子 zi zĭ zí
姊	zi3	女 nǚ rŭ; 弔 diào
紫	zi3	此 cĭ; 糸 mì
滓	zi3	水 shuĭ; 宰 zăi
字	zi4	宀 mián; 子 zi zĭ zí
自	zi4	自 zì
宗	zong1	宀 mián; 示 shì
综	zong1 zeng4	糸 mì; 宗 zōng
棕	zong1	木 mù; 宗 zōng
踪	zong1	足 zú jù; 宗 zōng
总	zong3	囱 cōng; 心 xīn
纵	zong4	糸 mì; 从 cóng cōng
走	zou3	人 rén; 止 zhĭ
奏	zou4	丰 fēng; 天 tiān
揍	zou4	手 shŏu; 奏 zòu
